fight_id,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,weight_class_rank,gender,result,result_details,finish_round,finish_time,fight_url
29,3,"John McCarthy",1338,1414,1338,NULL,F,"Open Weight",,M,Submission,"Armbar From Bottom Guard",1,5:32,http://ufcstats.com/fight-details/9c74c2758a2c7c2e
30,3,"John McCarthy",3324,390,3324,NULL,F,"Open Weight",,M,Submission,"Arm Triangle From Mount",1,0:52,http://ufcstats.com/fight-details/e65a23b80c869456
31,3,"John McCarthy",1338,3324,1338,NULL,T,NULL,,M,Submission,"Triangle Choke From Bottom Guard",1,5:49,http://ufcstats.com/fight-details/f29eec19aa5c1303
32,4,"Lonnie Foster",300,535,300,1,F,"Open Weight",,M,KO/TKO,"to    
      Corner Stoppage",1,0:21,http://ufcstats.com/fight-details/802c0e4e228996ac
33,4,"John McCarthy",2369,928,2369,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Mount",1,2:02,http://ufcstats.com/fight-details/fa152ada833de1d4
34,4,"John McCarthy",1527,124,1527,1,F,"Open Weight",,M,KO/TKO,"Knees to Head On Ground",1,1:23,http://ufcstats.com/fight-details/fa3b940bd48da7e2
35,4,"John McCarthy",2333,773,2333,1,F,"Open Weight",,M,Submission,"Forearm Choke From Half Guard",1,2:55,http://ufcstats.com/fight-details/43c2c904e1574c59
36,4,"John McCarthy",3610,3806,3610,1,F,"Open Weight",,M,Submission,"Scarf Hold From Side Control",1,2:23,http://ufcstats.com/fight-details/ebfe035b70080668
37,4,"John McCarthy",3324,612,3324,1,F,"Open Weight",,M,Submission,"Rear Naked Choke",1,1:38,http://ufcstats.com/fight-details/2308e0da38efd4ba
38,4,"John McCarthy",300,2333,300,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Mount
      Submission to Strikes",1,2:12,http://ufcstats.com/fight-details/db4c169722cf1e33
39,4,"John McCarthy",3324,3610,3324,1,F,"Open Weight",,M,"TKO - Doctor's Stoppage","Facial Cut",1,4:21,http://ufcstats.com/fight-details/cbf3fc8730b4ad09
40,4,"John McCarthy",3324,300,3324,1,T,NULL,,M,Submission,"Keylock From Side Control",1,3:01,http://ufcstats.com/fight-details/6ca94b35719eb300
41,5,"John McCarthy",3579,2311,3579,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Back Control
      Submission to Strikes",1,2:01,http://ufcstats.com/fight-details/b297c3e938e1005e
42,5,"John McCarthy",2151,1274,2151,1,F,"Open Weight",,M,KO/TKO,"Headbutts to Head From Mount
      Submission to Strikes",1,3:06,http://ufcstats.com/fight-details/8e03db41687d9132
43,5,"John McCarthy",4,2273,4,1,F,"Open Weight",,M,KO/TKO,"Punches to Head At Distance",1,0:20,http://ufcstats.com/fight-details/88945d70ee6c6467
44,5,"John McCarthy",3782,3970,3782,1,F,"Open Weight",,M,KO/TKO,"Elbow to Head In Clinch",1,1:02,http://ufcstats.com/fight-details/547295977141cbc2
45,5,"John McCarthy",3429,2441,3429,1,F,"Open Weight",,M,Submission,"Rear Naked Choke",1,1:08,http://ufcstats.com/fight-details/e2b32e1683a566af
46,5,"John McCarthy",3610,300,3610,1,F,"Open Weight",,M,Submission,"Guillotine Choke After Drop to Guard",1,0:57,http://ufcstats.com/fight-details/5d19fa2df1cb61a2
47,5,"John McCarthy",4,3782,4,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Half Guard",1,1:53,http://ufcstats.com/fight-details/43f6b0c40113d0d8
48,5,"John McCarthy",3610,2151,3610,1,F,"Open Weight",,M,Submission,"Guillotine Choke After Drop to Ground",1,0:09,http://ufcstats.com/fight-details/3c2c7c095c79a506
49,5,"John McCarthy",3332,3324,3332,1,F,NULL,,M,Submission,"Guillotine Choke Standing",1,2:14,http://ufcstats.com/fight-details/d62aec55bc142346
50,5,"John McCarthy",3610,4,3610,1,T,NULL,,M,Submission,"Rear Naked Choke",1,7:45,http://ufcstats.com/fight-details/66c029f49d3c5da6
51,6,"John McCarthy",3579,1790,3579,1,F,"Open Weight",,M,"TKO - Doctor's Stoppage","",1,0:48,http://ufcstats.com/fight-details/4b334c9727eee450
52,6,"John McCarthy",2767,2274,2767,1,F,"Open Weight",,M,KO/TKO,"to    
      Submission to Strikes",1,5:26,http://ufcstats.com/fight-details/e4fe950846b51bdf
53,6,"Taimak Guarriello",324,1579,324,1,F,"Open Weight",,M,Submission,"Guillotine Choke Standing",1,0:31,http://ufcstats.com/fight-details/e9ce3a28eeb83905
54,6,"John McCarthy",3782,1455,3782,1,F,"Open Weight",,M,KO/TKO,"Elbows to Head On Ground
      Submission to Strikes",1,1:05,http://ufcstats.com/fight-details/869d753568a114a6
55,6,"John McCarthy",1422,1599,1422,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Guard
      Submission to Strikes",1,1:41,http://ufcstats.com/fight-details/fcf632627ce40195
56,6,"John McCarthy",2750,2759,2750,1,F,"Open Weight",,M,Submission,"Gi Choke From Mount",1,3:05,http://ufcstats.com/fight-details/ef2ccb690dcd943f
57,6,"John McCarthy",3149,773,3149,1,F,"Open Weight",,M,Submission,"Heel Hook From Bottom Guard",1,3:23,http://ufcstats.com/fight-details/9ebb7bba0b45d517
58,6,"John McCarthy",3782,1422,3782,1,F,"Open Weight",,M,Submission,"Keylock From Mount",1,1:01,http://ufcstats.com/fight-details/62bb4ea8bf86790c
59,6,"John McCarthy",3149,2750,3149,1,F,"Open Weight",,M,Submission,"Other  
      Position - Mount",1,2:27,http://ufcstats.com/fight-details/99d98a2d278bfa1f
60,6,"John McCarthy",3149,3782,3149,1,T,NULL,,M,KO/TKO,"Kicks to Leg At Distance",1,3:17,http://ufcstats.com/fight-details/e7ca291dd8f5661b
61,7,"John McCarthy",612,324,612,1,F,"Open Weight",,M,Submission,Armbar,1,4:38,http://ufcstats.com/fight-details/6449a1a9a69a830c
62,7,"John McCarthy",1422,1697,1422,1,F,"Open Weight",,M,Submission,"",1,5:29,http://ufcstats.com/fight-details/7ffcc3a72e082ace
63,7,"John McCarthy",4,1702,4,1,F,"Open Weight",,M,Submission,"Neck Crank From Guard",1,1:14,http://ufcstats.com/fight-details/6b0430e9c97afec7
64,7,"John McCarthy",3324,3782,3324,1,F,"Open Weight",,M,Submission,"Arm Triangle From Side Control",1,1:01,http://ufcstats.com/fight-details/8cc976ee1a123fb8
65,7,"John McCarthy",3149,1414,3149,1,F,"Open Weight",,M,Submission,"Rear Naked Choke",1,2:39,http://ufcstats.com/fight-details/3e39aac3e15d75bd
66,7,"John McCarthy",3610,300,3610,1,F,"Open Weight",,M,Submission,"Ankle Lock From Inoki-Ali Position",1,1:15,http://ufcstats.com/fight-details/d45f9dfdb75a640f
67,7,"John McCarthy",3324,4,3324,1,F,"Open Weight",,M,Decision,Unanimous,1,8:00,http://ufcstats.com/fight-details/0d872527bbb3cd40
68,7,"John McCarthy",3610,3149,3610,1,F,"Open Weight",,M,Decision,Unanimous,1,8:00,http://ufcstats.com/fight-details/717f3c3932279196
69,7,"John McCarthy",3324,3610,3324,1,T,NULL,,M,Decision,Unanimous,2,3:00,http://ufcstats.com/fight-details/524b49a676498c6d
70,8,"John McCarthy",20,2376,20,1,F,"Open Weight",,M,KO/TKO,"Punches to Head On Ground
      Submission to Strikes",1,0:50,http://ufcstats.com/fight-details/5701dbbbfa4f8313
71,8,"John McCarthy",1175,2956,1175,1,F,"Open Weight",,M,KO/TKO,"Punch to Head At Distance",1,0:08,http://ufcstats.com/fight-details/3cf6583153078f8f
72,8,"John McCarthy",3782,2470,3782,1,F,"Open Weight",,M,Decision,Unanimous,1,0:00,http://ufcstats.com/fight-details/16cb0064575e2b0b
73,8,"John McCarthy",367,1095,367,1,F,"Open Weight",,M,Submission,"Guillotine Choke Standing",1,9:03,http://ufcstats.com/fight-details/ab7390e549e28893
74,8,"John McCarthy",1319,1521,1319,1,F,"Open Weight",,M,KO/TKO,"Elbows to Head From Crucifix",1,0:13,http://ufcstats.com/fight-details/8312985b75241b06
75,8,"John McCarthy",1175,20,1175,1,F,"Open Weight",,M,"TKO - Doctor's Stoppage","Facial Cut",1,0:48,http://ufcstats.com/fight-details/90bce37a788afeaa
76,8,"John McCarthy",1319,367,1319,1,F,"Open Weight",,M,KO/TKO,"Punch to Head On Ground",1,5:31,http://ufcstats.com/fight-details/f5156ca4dcd2a0e3
77,8,"John McCarthy",3332,2038,3332,1,F,NULL,,M,Submission,"Kneebar From Bottom Guard",1,4:24,http://ufcstats.com/fight-details/16b4a0b06427f1ac
78,8,"John McCarthy",1175,1319,1175,1,T,NULL,,M,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,2:14,http://ufcstats.com/fight-details/8d2e99599124a16f
79,9,"Joe Hamilton",2579,399,2579,1,F,"Open Weight",,M,"TKO - Doctor's Stoppage","Facial Cuts",1,7:25,http://ufcstats.com/fight-details/e92abaf81ad5949b
80,9,"John McCarthy",3970,1157,3970,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,3:14,http://ufcstats.com/fight-details/31fc4d5d5d1a6126
81,9,"John McCarthy",556,123,556,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Mount",1,5:32,http://ufcstats.com/fight-details/c89017008da245be
82,9,"John McCarthy",3293,1319,3293,1,F,"Open Weight",,M,"TKO - Doctor's Stoppage","Facial Cut",1,2:00,http://ufcstats.com/fight-details/ca62a52ab0bd9108
83,9,"John McCarthy",1422,1878,1422,1,F,"Open Weight",,M,"TKO - Doctor's Stoppage","Nose Injury",1,0:47,http://ufcstats.com/fight-details/378ede9e541c82f9
84,9,"John McCarthy",1175,339,1175,1,F,"Open Weight",,M,KO/TKO,"Knees to Head From Front Headlock",1,9:30,http://ufcstats.com/fight-details/db845f2e28c22b4c
85,9,"John McCarthy",3324,3332,3324,1,F,NULL,,M,Decision,Split,3,3:00,http://ufcstats.com/fight-details/6a060498e60756af
86,10,"Joe Hamilton",1790,320,1790,1,F,"Open Weight",,M,KO/TKO,"Punches to Head At Distance",1,5:57,http://ufcstats.com/fight-details/dc6a8ec4d6c477de
87,10,"John McCarthy",20,2412,20,1,F,"Open Weight",,M,Decision,Unanimous,2,3:00,http://ufcstats.com/fight-details/f59b1215176636f6
88,10,"John McCarthy",1175,1422,1175,1,F,"Open Weight",,M,KO/TKO,"Headbutt to Head From Guard",1,0:21,http://ufcstats.com/fight-details/de2ced807ed3eb0b
89,10,"John McCarthy",1738,1099,1738,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Back Control",1,2:25,http://ufcstats.com/fight-details/e4acc3bb3c3e27d1
90,10,"John McCarthy",676,1584,676,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Half Guard",1,2:43,http://ufcstats.com/fight-details/ba65a2f56dc6a5ed
91,10,"John McCarthy",1319,529,1319,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Mount",1,1:28,http://ufcstats.com/fight-details/bde5589889ded1c9
92,10,"John McCarthy",1175,1738,1175,1,F,"Open Weight",,M,KO/TKO,"Elbows to Head From Side Control
      Submission to Strikes",1,4:37,http://ufcstats.com/fight-details/ced000124f98f276
93,10,"John McCarthy",676,1319,676,1,F,"Open Weight",,M,Submission,"Other From Back Control
      Position - Back Control",1,7:00,http://ufcstats.com/fight-details/b71cb011942f3176
94,10,"John McCarthy",676,1175,676,1,T,NULL,,M,KO/TKO,"Headbutts to Head From Side Control",1,1:34,http://ufcstats.com/fight-details/6397fba14ce7f674
95,11,"John McCarthy",1095,1186,1095,1,F,"Open Weight",,M,Submission,Injury,1,1:45,http://ufcstats.com/fight-details/c413b0abc04358c3
96,11,"Joe Hamilton",3703,318,3703,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Back Control
      Submission to Strikes",1,1:33,http://ufcstats.com/fight-details/3badedeb2c5533f4
97,11,"John McCarthy",676,3201,676,1,F,"Open Weight",,M,Submission,"Scarf Hold From Side Control",1,0:45,http://ufcstats.com/fight-details/b03b58b04dafa93a
98,11,"John McCarthy",1738,2563,1738,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Mount",1,0:28,http://ufcstats.com/fight-details/7149494344c04258
99,11,"John McCarthy",4,20,4,1,F,"Open Weight",,M,Submission,"Forearm Choke From Half Guard",1,2:06,http://ufcstats.com/fight-details/398ff6015a5ba3b5
100,11,"John McCarthy",367,1404,367,1,F,"Open Weight",,M,Decision,Unanimous,1,5:00,http://ufcstats.com/fight-details/a5200c9bac3c420b
101,11,"John McCarthy",676,1738,676,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Half Guard
      Submission to Strikes",1,2:20,http://ufcstats.com/fight-details/b633d9d9626239ec
102,11,"John McCarthy",1095,4,1095,1,F,"Open Weight",,M,Decision,Unanimous,2,3:00,http://ufcstats.com/fight-details/9f6a7aee1fce539a
103,12,"John McCarthy",1422,2412,1422,1,F,"Open Weight",,M,KO/TKO,to,1,1:45,http://ufcstats.com/fight-details/a5c90086fb65f58e
104,12,"John McCarthy",2579,390,2579,1,F,"Open Weight",,M,Submission,"Shoulder Choke From Half Guard",1,1:37,http://ufcstats.com/fight-details/d93c8c77e1091a16
105,12,"John McCarthy",399,2607,399,1,F,"Open Weight",,M,KO/TKO,"Headbutts to Head On Ground
      Submission to Strikes",1,4:46,http://ufcstats.com/fight-details/2f449bd58b3d9a99
106,12,"John McCarthy",1175,1319,1175,1,F,"Open Weight",,M,Submission,"Other From Guard
      Fatigue",1,1:19,http://ufcstats.com/fight-details/9713ba5e92ee4f5d
107,12,"John McCarthy",4,3970,4,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Guard
      Submission to Strikes",1,2:51,http://ufcstats.com/fight-details/f84070b049bc14e6
108,12,"John McCarthy",2038,3782,2038,1,F,"Open Weight",,M,KO/TKO,"Punches to Head From Mount",1,9:08,http://ufcstats.com/fight-details/14e48e29fefe1b3d
109,12,"John McCarthy",3332,1738,3332,1,F,"Open Weight",,M,Submission,"Forearm Choke From Guard",1,5:48,http://ufcstats.com/fight-details/fa48320affd3b2b4
110,12,"John McCarthy",1175,1422,1175,1,F,"Open Weight",,M,Submission,"Ankle Lock After Drop to Ground",1,0:20,http://ufcstats.com/fight-details/f716e27b04a6fbb5
111,12,"John McCarthy",4,2579,4,1,F,"Open Weight",,M,KO/TKO,"Punch to Head In Clinch",1,1:03,http://ufcstats.com/fight-details/c8ff8a72f3c5a825
112,12,"John McCarthy",1175,4,1175,1,T,NULL,,M,Submission,"Rear Naked Choke",1,1:22,http://ufcstats.com/fight-details/d595d2c36ddba8ee
113,13,"John McCarthy",3248,2008,3248,1,F,Lightweight,8,M,KO/TKO,to,1,0:48,http://ufcstats.com/fight-details/565ecefd8a37ad7e
114,13,"John McCarthy",2234,2233,2234,1,F,Heavyweight,12,M,Submission,"Heel Hook",1,0:14,http://ufcstats.com/fight-details/77bf1e37929b0d59
115,13,"John McCarthy",367,2240,367,1,F,Lightweight,8,M,Submission,"Rear Naked Choke",1,1:24,http://ufcstats.com/fight-details/18af785da73b5996
116,13,"John McCarthy",3604,1658,3604,1,F,Lightweight,8,M,Decision,Unanimous,2,3:00,http://ufcstats.com/fight-details/e45feb9866eb2da7
117,13,"John McCarthy",1095,2506,1095,1,F,Heavyweight,12,M,KO/TKO,"Knees to Head On Ground",1,8:02,http://ufcstats.com/fight-details/72e7d6d5328bc3d6
118,13,"John McCarthy",292,3644,292,1,F,Heavyweight,12,M,KO/TKO,"Elbows to Head From Side Control
      Submission to Strikes",1,1:17,http://ufcstats.com/fight-details/b28809d58f8c18fd
119,13,"John McCarthy",367,3248,367,1,F,Lightweight,8,M,Submission,"Neck Crank From Crucifix",1,0:39,http://ufcstats.com/fight-details/2963e9a4b8c10bc9
120,13,"John McCarthy",292,1095,292,1,F,Heavyweight,12,M,KO/TKO,"Punches to Head On Ground",1,0:43,http://ufcstats.com/fight-details/fa347a9ac9d0558c
121,13,"John McCarthy",676,3324,676,1,T,Heavyweight,12,M,Submission,"Scarf Hold From Side Control",1,2:57,http://ufcstats.com/fight-details/3e813ba25895913d
122,14,"Joe Hamilton",2700,47,2700,1,F,Lightweight,8,M,KO/TKO,"Punches to Head From Mount",1,0:31,http://ufcstats.com/fight-details/f3c33d0b7a087eaf
123,14,"Joe Hamilton",2607,1594,2607,1,F,Lightweight,8,M,KO/TKO,"Elbows to Head From Back Control",1,1:23,http://ufcstats.com/fight-details/0473ef44197be419
124,14,"John McCarthy",2369,2030,2369,1,F,Lightweight,8,M,Decision,Unanimous,2,3:00,http://ufcstats.com/fight-details/45e49fe8d3d1bfb5
125,14,"John McCarthy",1641,72,1641,1,F,Lightweight,8,M,Submission,"Armbar From Bottom Guard",1,1:36,http://ufcstats.com/fight-details/90557b479ce1c2a7
126,14,"John McCarthy",1355,3526,1355,1,F,Heavyweight,12,M,Submission,"Keylock From Side Control",1,1:30,http://ufcstats.com/fight-details/e3255c742fff811c
127,14,"John McCarthy",732,1427,732,1,F,Heavyweight,12,M,Submission,"Rear Naked Choke",1,0:56,http://ufcstats.com/fight-details/75d16f9eae9c6ea6
128,14,"John McCarthy",2369,2700,2369,1,T,Lightweight,8,M,Submission,"Guillotine Choke After Drop to Ground",1,2:00,http://ufcstats.com/fight-details/86f566f142593667
129,14,"John McCarthy",732,1355,732,1,T,Heavyweight,12,M,KO/TKO,"Punches to Head From Back Control",1,3:13,http://ufcstats.com/fight-details/4165dd0c39926e2f
130,14,"John McCarthy",292,4,292,1,F,Heavyweight,12,M,KO/TKO,"Punches to Head On Ground",1,0:52,http://ufcstats.com/fight-details/0e16795e385e76a7
131,15,"Joe Hamilton",1176,611,1176,1,F,Lightweight,8,M,Submission,"Other - Choke From Mount
      Strangle Choke",1,1:31,http://ufcstats.com/fight-details/1586c14f26880553
132,15,"Joe Hamilton",1619,1186,1619,1,F,Heavyweight,12,M,Submission,"Other  
      Position - Back Control",1,2:30,http://ufcstats.com/fight-details/f373e50e2fab3d5f
133,15,"John McCarthy",2470,3788,2470,1,F,Lightweight,8,M,Decision,Unanimous,2,3:00,http://ufcstats.com/fight-details/6158150558be0edf
134,15,"John McCarthy",1667,499,1667,1,F,Lightweight,8,M,KO/TKO,"Punches to Head From Back Control
      Submission to Strikes",1,1:27,http://ufcstats.com/fight-details/e0a11799d3446b87
135,15,"John McCarthy",1840,1584,1840,1,F,Heavyweight,12,M,KO/TKO,"Punches to Head From Half Guard",1,2:22,http://ufcstats.com/fight-details/f44aa569b4eec404
136,15,"John McCarthy",357,1738,357,1,F,Heavyweight,12,M,Submission,"Forearm Choke On Ground",1,2:10,http://ufcstats.com/fight-details/3f6c0a76407e1863
137,15,"John McCarthy",1667,1176,1667,1,T,Middleweight,10,M,Submission,"Rear Naked Choke",1,0:44,http://ufcstats.com/fight-details/c92596c3143db25b
138,15,"John McCarthy",1840,357,1840,1,T,Heavyweight,12,M,Submission,"Other From Mount
      Chin to Eye",1,1:38,http://ufcstats.com/fight-details/1f561a3e35a9b48a
139,15,"John McCarthy",3428,676,3428,1,T,Heavyweight,12,M,Decision,Unanimous,3,3:00,http://ufcstats.com/fight-details/1a5171802bf3bce6
140,16,"Joe Hamilton",1619,2488,1619,1,F,Heavyweight,12,M,Decision,Split,1,2:00,http://ufcstats.com/fight-details/c99e302777049f2d
141,16,"Joe Hamilton",584,915,584,1,F,Heavyweight,12,M,KO/TKO,"Punches to Head From Guard",1,3:43,http://ufcstats.com/fight-details/da77ead135cb4f17
142,16,"John McCarthy",1840,3548,1840,1,F,Heavyweight,12,M,KO/TKO,"Knee to Head In Clinch",1,0:17,http://ufcstats.com/fight-details/6603f1d60bfeefa9
143,16,"John McCarthy",300,256,300,1,F,Heavyweight,12,M,Decision,Unanimous,2,3:00,http://ufcstats.com/fight-details/3bd789bcfb12368d
144,16,"John McCarthy",732,292,732,1,F,Heavyweight,12,M,KO/TKO,"Punches to Head From Half Guard",1,8:16,http://ufcstats.com/fight-details/b5e49b35bc25c5a9
145,16,"John McCarthy",1840,584,1840,1,T,Heavyweight,12,M,Submission,"Rear Naked Choke",1,0:53,http://ufcstats.com/fight-details/1c1f8f281b2065e0
146,16,"John McCarthy",3428,4,3428,1,T,Heavyweight,12,M,Submission,"Other  
      Fatigue",1,8:08,http://ufcstats.com/fight-details/b3cafb4e6e1b2ad0
147,17,"Joe Hamilton",3644,1896,3644,1,F,Heavyweight,12,M,Submission,"Armbar From Bottom Guard",1,0:05,http://ufcstats.com/fight-details/0e0629a1503125a6
148,17,"John McCarthy",4,142,4,1,F,Heavyweight,12,M,Decision,Unanimous,2,3:00,http://ufcstats.com/fight-details/764e492b55c0ec40
149,17,"John McCarthy",3333,1667,3333,1,T,"Light Heavyweight",11,M,Submission,"Armbar From Bottom Guard",1,0:16,http://ufcstats.com/fight-details/e0c636beed345e1d
150,17,"John McCarthy",292,612,292,1,F,Heavyweight,12,M,Submission,"Armbar From Mount",1,4:03,http://ufcstats.com/fight-details/5c3542260741c6bc
151,17,"John McCarthy",3179,3399,3179,1,T,Heavyweight,12,M,Submission,"Armbar From Side Control",1,3:44,http://ufcstats.com/fight-details/ec1bda9a4c2aab42
152,17,"John McCarthy",732,3428,732,1,T,Heavyweight,12,M,Decision,Majority,3,3:00,http://ufcstats.com/fight-details/748657d9ba9d7c71
153,18,"John McCarthy",648,3561,648,1,F,Lightweight,8,M,KO/TKO,to,1,1:15,http://ufcstats.com/fight-details/b80872821bc4f6ba
154,18,"John McCarthy",423,3734,423,1,F,Lightweight,8,M,Submission,Armbar,1,1:20,http://ufcstats.com/fight-details/4bce0ce561a65288
155,18,"Joe Hamilton",484,3596,484,1,F,Lightweight,8,M,KO/TKO,"Punches to Head At Distance",1,9:45,http://ufcstats.com/fight-details/a3a328ca117184df
156,18,"Joe Hamilton",2381,3265,2381,1,F,Lightweight,8,M,Decision,Split,2,3:00,http://ufcstats.com/fight-details/43885ee6cc5ed241
157,18,"John McCarthy",367,1667,367,1,F,Middleweight,10,M,Submission,"Armbar From Bottom Guard
      Technical Submission",1,0:23,http://ufcstats.com/fight-details/db936df21e61209e
158,18,"John McCarthy",2381,423,2381,1,F,Lightweight,8,M,Submission,"Shoulder Choke From Half Guard",1,9:02,http://ufcstats.com/fight-details/16f25f0808db6f77
159,18,"John McCarthy",1898,2038,1898,1,F,Heavyweight,12,M,Decision,Unanimous,2,3:00,http://ufcstats.com/fight-details/b55481006297ba05
160,18,"John McCarthy",3333,4059,3333,1,T,"Light Heavyweight",11,M,KO/TKO,"Slam to   On Ground",1,0:22,http://ufcstats.com/fight-details/f32f823658478705
161,19,"Joe Hamilton",2060,1514,2060,1,F,Middleweight,10,M,Decision,Unanimous,1,2:00,http://ufcstats.com/fight-details/ea535b46e0f69ad3
